handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1
26,Product,Advance diabetes colitis canine dieta,"Rico en GLUCIDES (ORGE) Reduce la glucosa postprandial. Rico en fibras sólidas (PULPE DE BETERAVE) contribuye a la salud del colon gracias a la producción de ácidos grasos de cadena corta y estimula el crecimiento y la actividad de la flora intestinal para regular el tránsito intestinal. Reduce grasa y caloría; ayuda a los perros a mantener una condición óptima, reduciendo la acumulación de grasa y sobrepeso. Antióxidos naturales que actúan en sinergia con vitamina E y C, aumentando así el efecto antioxidante y reduciendo las lesiones celulares oxidativas.",https://images-na.ssl-images-amazon.com/images/I/41Qt7zlO5ML._AC_SX569_.jpg,Comida para perros,Advance-Perro-Diabetes,Perros,25.51,0,TRUE,AMOUNT,0,,3,,,,,,,,,,,,,,,,,,,Cantidad,3kg,,,,,,,,,,,C,2,FALSE
27,Product,ADVANCE Veterinary Diets Gastroenteric ,ADVANCE VETERINARY DIETS GASTROENTERIC es un alimento completo para cachorros y perros adultos que ayuda a reducir los trastornos gastrointestinales y casos de insuficiencia pancreática exocrina. INMUNOGLOBULINAS que ayudna a modular la respuesta inmunitaria intestinal. ACEITE DE COCO: fuente de ácidos grasos de rápida absorción y disponibilidad. GLUTAMINA: aminoácido que ayuda a mantener la salud de la pared intestinal. PREBIÓTICOS: favorecen el desarrollo de la flora intestinal beneficiosa.,https://images-na.ssl-images-amazon.com/images/I/41qpgNvVUQL._AC_SX569_.jpg,Comida para perros,Advance-Perro-Gastro,Perros,16.99,0,TRUE,AMOUNT,0,,3,,,,,,,,,,,,,,,,,,,Cantidad,3kg,,,,,,,,,,,C,2,FALSE
28,Product,ADVANCE Veterinary Diets Hypoallergenic,"ADVANCE VETERINARY DIETS Hypoallergenic es un alimento dietético completo para cachorros y perros adultos, creado para reducir las intolerancias a ingredientes y nutrientes. ACEITE DE COCO: fuente de ácidos grasos de rápida absorción y disponibilidad. ALTA PALATABILIDAD: recubrimiento hipoalergénico con un buen sabor. PROTEÍNA con una alta tolerancia alimentaria.",https://images-na.ssl-images-amazon.com/images/I/41sn3Cm-cML._AC_SX569_.jpg,Comida para perros,Advance-Perro-Hypo,Perros,19.99,0,TRUE,AMOUNT,0,,2.5,,,,,,,,,,,,,,,,,,,Cantidad,2.5kg,,,,,,,,,,,C,2,FALSE
29,Product,ADVANCE Adult Maxi,"Proporción óptima de calcio-fósforo, y vitamina D para garantizar un crecimiento y desarrollo óseo adecuados Con condroitina y glucosamina para ayudar a preservar la salud del cartílago de las articulaciones Inmunoglobulinas, polifenoles y un alto nivel de proteínas para reforzar las defensas naturales de tu cachorro Pollo y arroz como ingredientes principales, fuentes excelentes de proteínas y carbohidratos de fácil digestión",https://images-na.ssl-images-amazon.com/images/I/41uZ%2BfUt1oL._AC_SX569_.jpg,Comida para perros,Advance-Perro-Jr-Maxi,Perros,46.43,0,TRUE,AMOUNT,0,,14,,,,,,,,,,,,,,,,,,,Cantidad,14kg,,,,,,,,,,,C,2,FALSE
30,Product,ADVANCE Veterinary Diets Leishmaniasis ,AVET DOG LEISHMANIASIS MANAGEMENT 12KG Producto nuevo Producto de alta calidad Advance Veterinary Diets es un nombre de marca reconocido,https://images-na.ssl-images-amazon.com/images/I/41obcmlRzhL._AC_SX569_.jpg,Comida para perros,Advance-Perro-Leish,Perros,54.74,0,TRUE,AMOUNT,0,,12,,,,,,,,,,,,,,,,,,,Cantidad,12kg,,,,,,,,,,,C,2,FALSE
31,Product,ADVANCE Light Maxi Adult,ADVANCE Light Maxi es un alimento de alta gama especialmente indicado para perros de razas grandes (más de 30 kg) con sobrepeso y tendencia a la obesidad. BAJO EN GRASAS para mantener un buen peso ALTO CONTENIDO DE FIBRA para ayudar a ofrecer un efecto saciante. COMPLETO Y EQUILIBRADO. Receta basada en pollo y arroz con vitaminas y minerales para ofrecer un alimento completo y equilibrado FÓRMULA sin conservantes artificiales ni colorantes.,https://images-na.ssl-images-amazon.com/images/I/41898VUFqEL._AC_SX569_.jpg,Comida para perros,Advance-Perro-Light,Perros,44.99,0,TRUE,AMOUNT,0,,14,,,,,,,,,,,,,,,,,,,Cantidad,14kg,,,,,,,,,,,C,2,FALSE
32,Product,ADVANCE Light Adult Medium,ADVANCE Light Medium es un alimento de alta gama especialmente indicado para perros de razas medianas (10-30kg) con sobrepeso y tendencia a la obesidad. BAJO EN GRASAS para mantener un buen peso ALTO CONTENIDO DE FIBRA para ayudar a ofrecer un efecto saciante. COMPLETO Y EQUILIBRADO. Receta basada en pollo y arroz con vitaminas y minerales para ofrecer un alimento completo y equilibrado FÓRMULA sin conservantes artificiales ni colorantes.,https://images-na.ssl-images-amazon.com/images/I/41fK5gg-olL._AC_SX569_.jpg,Comida para perros,Advance-Perro-Light-md,Perros,38.99,0,TRUE,AMOUNT,0,,3,,,,,,,,,,,,,,,,,,,Cantidad,3kg,,,,,,,,,,,C,2,FALSE
33,Product,ADVANCE Light Adult Mini,ADVANCE Light Mini es un alimento de alta gama especialmente indicado para perros de razas pequeñas (hasta 10kgs) con sobrepeso y tendencia a la obesidad. BAJO EN GRASAS para mantener un buen peso ALTO CONTENIDO DE FIBRA para ayudar a ofrecer un efecto saciante. COMPLETO Y EQUILIBRADO. Receta basada en pollo y arroz con vitaminas y minerales para ofrecer un alimento completo y equilibrado FÓRMULA sin conservantes artificiales ni colorantes.,https://images-na.ssl-images-amazon.com/images/I/41XV8CpLjgL._AC_SX569_.jpg,Comida para perros,Advance-Perro-Light-Jr,Perros,16.99,0,TRUE,AMOUNT,0,,3,,,,,,,,,,,,,,,,,,,Cantidad,3kg,,,,,,,,,,,C,2,FALSE
34,Product,ADVANCE Puppy Maxi,"Advance Maxi Puppy es un alimento de alta gama formulado para cubrir las necesidades nutricionales específicas de cachorros de razas grandes (más de 30 kg) FÁCIL DIGESTIÓN. Pollo y arroz como ingredientes principales, excelentes fuentes de proteínas y carbohidratos fáciles de digerir. DESARROLLO ÓSEO. Proporción óptima de calcio y fósforo, y vitamina D para garantizar un crecimiento y desarrollo adecuado de los huesos. DESARROLLO DEL CEREBRO Y LA VISIÓN. Ácidos grasos Omega 3 para ayudar al correcto desarrollo del sistema nervioso central, el proceso de aprendizaje y la visión. SISTEMA INMUNOLÓGICO. Inmunoglobulinas, nucleótidos y un alto nivel de proteínas para reforzar las defensas naturales de tu cachorro.",https://images-na.ssl-images-amazon.com/images/I/41Ln0-oRwIL._AC_SX569_.jpg,Comida para perros,Advance-Perro-Maxi-Pup,Perros,16.89,0,TRUE,AMOUNT,0,,3,,,,,,,,,,,,,,,,,,,Cantidad,3kg,,,,,,,,,,,C,2,FALSE
35,Product,ADVANCE Puppy Medium,"Advance Medium Puppy es un alimento de alta gama formulado para cubrir las necesidades específicas de los cachorros de razas medianas (10-30 kg) de 2 a 15 meses de edad. FÁCIL DIGESTIÓN. Pollo y arroz como ingredientes principales, excelentes fuentes de proteínas y carbohidratos fáciles de digerir. DESARROLLO ÓSEO. Proporción óptima de calcio y fósforo, y vitamina D para garantizar un crecimiento y desarrollo adecuado de los huesos. DESARROLLO DEL CEREBRO Y LA VISIÓN. Ácidos grasos Omega 3 para ayudar al correcto desarrollo del sistema nervioso central, el proceso de aprendizaje y la visión. SISTEMA INMUNOLÓGICO. Inmunoglobulinas, nucleótidos y un alto nivel de proteínas para reforzar las defensas naturales de tu cachorro.",https://images-na.ssl-images-amazon.com/images/I/41sn5wPN%2B6L._AC_SX569_.jpg,Comida para perros,Advance-Perro-Maxi-Pup-Med,Perros,16.49,0,TRUE,AMOUNT,0,,3,,,,,,,,,,,,,,,,,,,Cantidad,3kg,,,,,,,,,,,C,2,FALSE
36,Product,ADVANCE Puppy Mini,"Advance Mini Puppy es un alimento de alta gama formulado para cubrir sus necesidades nutricionales específicas de cachorros de raza pequeña de 2 a 10 meses de edad. FÁCIL DIGESTIÓN. Pollo y arroz como ingredientes principales, excelentes fuentes de proteínas y carbohidratos fáciles de digerir. DESARROLLO ÓSEO. Proporción óptima de calcio y fósforo, y vitamina D para garantizar un crecimiento y desarrollo adecuado de los huesos. DESARROLLO DEL CEREBRO Y LA VISIÓN. Ácidos grasos Omega 3 para ayudar al correcto desarrollo del sistema nervioso central, el proceso de aprendizaje y la visión. SISTEMA INMUNOLÓGICO. Inmunoglobulinas, nucleótidos y un alto nivel de proteínas para reforzar las defensas naturales de tu cachorro.",https://images-na.ssl-images-amazon.com/images/I/41qI%2Bq1%2BZRL._AC_SX569_.jpg,Comida para perros,Advance-Perro-Puppy,Perros,15.99,0,TRUE,AMOUNT,0,,3,,,,,,,,,,,,,,,,,,,Cantidad,3kg,,,,,,,,,,,C,2,FALSE
37,Product,ADVANCE Mother Dog,"Advance Mother Dog & Initial es un alimento de alta gama, específicamente formulado para cubrir las necesidades de madres gestantes y lactantes, y para cachorros durante las primeras semanas de vida. FÁCIL DIGESTIÓN. Pollo y arroz como ingredientes principales, excelentes fuentes de proteínas y carbohidratos fáciles de digerir. DESARROLLO ÓSEO. Proporción óptima de calcio y fósforo, y vitamina D para garantizar un crecimiento y desarrollo adecuado de los huesos. DESARROLLO DEL CEREBRO Y LA VISIÓN. Ácidos grasos Omega 3 para ayudar al correcto desarrollo del sistema nervioso central, el proceso de aprendizaje y la visión. ÓPTIMO CRECIMIENTO. Alto contenido energético, proteínas, vitaminas y minerales que aseguran un crecimiento y desarrollo óptimos. Rango de edad: Amamantar",https://images-na.ssl-images-amazon.com/images/I/41J1bbvMasL._AC_SX569_.jpg,Comida para perros,Advance-Perro-Mother,Perros,18.99,0,TRUE,AMOUNT,0,,3,,,,,,,,,,,,,,,,,,,Cantidad,3kg,,,,,,,,,,,C,2,FALSE
38,Product,ADVANCE Senior Medium,"ADVANCE Senior Medium es un alimento de alta gama fácil de digerir formulado para cubrir las necesidades específicas de los perros de raza mediana de edad avanzada. SOPORTE ARTICULAR. Condroitina, glucosamina y un nivel óptimo de proteínas para ayudar a preservar el cartílago de las articulaciones y la masa muscular. ACTIVIDAD COGNITIVA. Ácidos grasos Omega 3 y antioxidantes (vitaminas E, C y polifenoles) para ayudar a preservar la actividad cognitiva con la edad. FÁCIL DIGESTIÓN. Pollo y arroz como ingredientes principales, excelentes fuentes de proteínas y carbohidratos fáciles de digerir. SALUD DENTAL. Partícula crujiente con efecto cepillado y pirofosfatos que ayudan a prevenir el sarro y favorecen el buen aliento.",https://images-na.ssl-images-amazon.com/images/I/41aNej2%2BZGL._AC_SX569_.jpg,Comida para perros,Advance-Perro-Sr-Med,Perros,16.99,0,TRUE,AMOUNT,0,,3,,,,,,,,,,,,,,,,,,,Cantidad,3kg,,,,,,,,,,,C,2,FALSE
39,Product,ADVANCE Senior Mini,"ADVANCE Senior Mini es un alimento de alta gama fácil de digerir formulado para cubrir las necesidades específicas de los perros de raza pequeña de edad avanzada. SOPORTE ARTICULAR. Condroitina, glucosamina y un nivel óptimo de proteínas para ayudar a preservar el cartílago de las articulaciones y la masa muscular. ACTIVIDAD COGNITIVA. Ácidos grasos Omega 3 y antioxidantes (vitaminas E, C y polifenoles) para ayudar a preservar la actividad cognitiva con la edad. FÁCIL DIGESTIÓN. Pollo y arroz como ingredientes principales, excelentes fuentes de proteínas y carbohidratos fáciles de digerir. SALUD DENTAL. Partícula crujiente con efecto cepillado y pirofosfatos que ayudan a prevenir el sarro y favorecen el buen aliento.",https://images-na.ssl-images-amazon.com/images/I/41oKChm-TnL._AC_SX569_.jpg,Comida para perros,Advance-Perro-Sr-Mini,Perros,16.49,0,TRUE,AMOUNT,0,,3,,,,,,,,,,,,,,,,,,,Cantidad,3kg,,,,,,,,,,,C,2,FALSE
40,Product,ADVANCE Sensitive MediumMaxi Con Cordero  3 kg,"ADVANCE Sensitive Medium-Maxi es un alimento de alta gama especialmente indicado para perros adultos de razas medianas y grandes con sensibilidad digestiva. MONOPROTEÍNA. Cordero como única fuente de proteína animal para perros con sensibilidad digestiva. ARROZ como fuente de carbohidratos altamente digestibles a inulina para favorecer una digestión saludable. OMEGAS 3 y 6, biotina y zinc para favorecer una piel sana y un pelo brillante. FÁCIL DIGESTIÓN. Fuente de proteínas y carbohidratos e inulina para favorecer una digestión saludable.",https://images-na.ssl-images-amazon.com/images/I/41hX-YDxzTL._AC_SX569_.jpg,Comida para perros,Advance-Perro-Sensative,Perros,15.99,0,TRUE,AMOUNT,0,,3,,,,,,,,,,,,,,,,,,,Cantidad,3kg,,,,,,,,,,,C,2,FALSE
41,Product,ADVANCE Sensitive MediumMaxi Con Salmoacuten  3 kg,"ADVANCE Sensitive Medium-Maxi es un alimento de alta gama especialmente indicado para perros adultos de razas medianas y grandes con sensibilidad digestiva. MONOPROTEÍNA. Salmón como única fuente de proteína animal para perros con sensibilidad digestiva. ARROZ como fuente de carbohidratos altamente digestibles a inulina para favorecer una digestión saludable. OMEGAS 3 y 6, biotina y zinc para favorecer una piel sana y un pelo brillante. FÁCIL DIGESTIÓN. Fuente de proteínas y carbohidratos e inulina para favorecer una digestión saludable.",https://images-na.ssl-images-amazon.com/images/I/41lHKHEGaXL._AC_SX569_.jpg,Comida para perros,Advance-Perro-Sensative-Med,Perros,15.99,0,TRUE,AMOUNT,0,,3,,,,,,,,,,,,,,,,,,,Cantidad,3kg,,,,,,,,,,,C,2,FALSE
42,Product,ADVANCE Sensitive Mini,"ADVANCE Sensitive Mini es un alimento de alta gama especialmente indicado para perros adultos de razas pequeñas (hasta 10 kg) con sensibilidad digestiva. MONOPROTEÍNA. Salmón como única fuente de proteína animal para perros con sensibilidad digestiva. ARROZ como fuente de carbohidratos altamente digestibles a inulina para favorecer una digestión saludable. OMEGAS 3 y 6, biotina y zinc para favorecer una piel sana y un pelo brillante. FÁCIL DIGESTIÓN. Fuente de proteínas y carbohidratos e inulina para favorecer una digestión saludable.",https://images-na.ssl-images-amazon.com/images/I/416LOqRMM%2BL._AC_SX569_.jpg,Comida para perros,Advance-Perro-Sensative-Mini,Perros,15.99,0,TRUE,AMOUNT,0,,3,,,,,,,,,,,,,,,,,,,Cantidad,3kg,,,,,,,,,,,C,2,FALSE
43,Product,ADVANCE Sensitive Puppy ,"ADVANCE Sensitive Puppy es un alimento de alta gama especialmente indicado para cachorros de todos los tamaños y de 2 a 12 meses de edad con sensibilidad digestiva. SALMÓN como única fuente de proteína animal. DESARROLLO ÓSEO. Proporción óptima de calcio y fósforo, y vitamina D para garantizar un crecimiento y desarrollo adecuado de los huesos. FÁCIL DIGESTIÓN. Pollo y arroz como ingredientes principales, excelentes fuentes de proteínas y carbohidratos fáciles de digerir. DESARROLLO DEL CEREBRO Y LA VISIÓN. Ácidos grasos Omega 3 para ayudar al correcto desarrollo del sistema nervioso central, el proceso de aprendizaje y la visión.",https://images-na.ssl-images-amazon.com/images/I/41piNmZdvkL._AC_SX569_.jpg,Comida para perros,Advance-Perro-Sensative-Pup,Perros,19.99,0,TRUE,AMOUNT,0,,3,,,,,,,,,,,,,,,,,,,Cantidad,3kg,,,,,,,,,,,C,2,FALSE
44,Product,ADVANCE Snacks Appetite Control  Galletas ,"ADVANCE Appetite Control es una galleta saludable y apetitosa que ayuda a controlar el apetito de tu perro. BAJO EN GRASAS. Efecto saciante con solo un 2% de grasa. ALTO CONTENIDO EN FIBRA. Para maximizar el efecto de saciedad, administrar 1-3 horas antes de cada comida. Contiene 7 bolsas de 150g cada una",https://images-na.ssl-images-amazon.com/images/I/41jz6uo4I6L._AC_SX569_.jpg,Snack para perros,Advance-Appetite-Snack-Perro,Perros,17.43,0,TRUE,AMOUNT,0,,1.05,,,,,,,,,,,,,,,,,,,Cantidad,1.05kg,,,,,,,,,,,C,2,FALSE
45,Product,ADVANCE Snacks Articular Stick  Barritas,"ADVANCE Articular Stick es un snack que contribuye a mejorar la movilidad articular de tu perro, con resultados visibles en 6 semanas ÁCIDO HIALURÓNICO Y OMEGA -3. Contribuyen a mantener las articulaciones correctamente lubricadas y a devolver la movilidad. COLÁGENO, CONDROITINA Y GLUCOSAMINA. Estimulan el metabolismo del cartílago, lo que ayuda a ralentizar su desgaste. Contiene 14 bolsas de 7 sticks cada una. En total 98 sticks",https://images-na.ssl-images-amazon.com/images/I/31Q828AUQgL._AC_SX569_.jpg,Snack para perros,Advance-Snack-Perro-Articular,Perros,11.99,0,TRUE,AMOUNT,0,,2.17,,,,,,,,,,,,,,,,,,,Cantidad,7 piezas,,,,,,,,,,,C,2,FALSE
46,Product,ADVANCE ArticularForte  Suplemento Nutricional ,"Los suplementos ArticularForte de ADVANCE, son idealeas para complemetar la gama de productos Advance Veterinary Diets Articular. Caja de 20 sobres con 2 partículas de 5g cada una CUIDADO DEL CARTÍLAGO. La combinación del sulfato de condroitina y glucosamina ayuda a reforzar el cartílago. ÁCIDO HIALURÓNICO que contribuye a mantener las propiedades del líquido sinovial, a reducir el dolor articular y a mejorar la movilidad.",https://images-na.ssl-images-amazon.com/images/I/31jC0yx9h5L._AC_SX569_.jpg,Snack para perros,Advance-Articular-Snack-Perro,Perros,14.85,0,TRUE,AMOUNT,0,,0.2,,,,,,,,,,,,,,,,,,,Cantidad,200 gramos,,,,,,,,,,,C,2,FALSE
47,Product,Advance Dentastix Snack,"INDICACIONES:La acumulación de sarro, la gingivitis o el mal aliento, pueden derivar en una pérdida de la dentición.Dental Care Stick rompe la cadena del sarro en tres momentos clave.Snack compatible con una dieta completa como administración ocasion.",https://static.miscota.com/media/1/photos/products/095252/95252-2_1_g.png,Snack para perros,Advance-Pedigree-Snack-Perro,Perros,8.17,0,TRUE,AMOUNT,0,,0.18,,,,,,,,,,,,,,,,,,,Cantidad,7 piezas,,,,,,,,,,,C,2,FALSE
48,Product,Advance Snacks Dental Care Stick Mini 90 gr,Advance Dental Care Stick Mini Dogs es un sabroso complemento alimenticio que beneficia su salud dental. ,,Snack para perros,Advance-Mini-Snack-Perro,Perros,3,0,TRUE,AMOUNT,0,,0.09,,,,,,,,,,,,,,,,,,,Cantidad,7 piezas,,,,,,,,,,,C,2,FALSE
49,Product,ADVANCE GastroForte  Suplemento Nutricional,"Los suplementos GastroForte de ADVANCE, son idealeas para complemetar la gama de productos Advance Veterniary Diets Gastroenteric. Caja de 50 sobres con 2 partículas de 5g cada una CONTROL DE HECES. Smectite es una arcilla ultrafina con alto poder de absorción, lo que favorece la retención de agua en el intestino, ayuda a frenar los procesos diarreicos y generar heces compactas. PROTECCIÓN INTESTINAL. Los prebióticos actúan sobre el intestino ayudando a modular la respuesta inmune local y a favorecer el desarrollo de una flora intestinal sana. DOSIS DIARIA: Perros &lt;10kg (1 partícula); 10-25kg (2 partículas); 25kg (3 partículas); +45kg (4 partículas)",https://images-na.ssl-images-amazon.com/images/I/318c3vSYMyL._AC_SX569_.jpg,Snack para perros,Advance-Gastrofuerte-Snack-Perro,Perros,48.49,0,TRUE,AMOUNT,0,,0.5,,,,,,,,,,,,,,,,,,,Cantidad,500gramos,,,,,,,,,,,C,2,FALSE
50,Product,ADVANCE Snacks Hypoallergenic  Galletas,ADVANCE Hypoallergenic Snack es una galleta blanda y apetitosa que reduce el riesgo de reacciones alérgicas al alimento. 100% PROTEÍNA HIDROLIZADA Reduce el riesgo de reacciones alérgicas alimentarias gracias a su bajo peso molecular. ALTA DIGESTIBILIDAD. Favorece una digestión de los ingredientes y una asimilación de los nutrientes correcta. CARBOHIDRATOS PUROS sin residuos proteicos que puedan causar reacciones alérgicas. Contiene 7 bolsas de 150g cada una,https://images-na.ssl-images-amazon.com/images/I/410Zx5MT52L._AC_SX569_.jpg,Snack para perros,Advance-HypoAllergenic-Snack-Perro,Perros,17.43,0,TRUE,AMOUNT,0,,1.05,,,,,,,,,,,,,,,,,,,Cantidad,1.05kg,,,,,,,,,,,C,2,FALSE
51,Product,ADVANCE Snacks Puppy  Galletas,"ADVANCE Puppy Snack es una galleta blanda y apetitosa que contribuye al desarrollo óptimo de tu cachorro gracias a su fórmula exclusiva. NUCLEOTIDES Sus nucleótidos estimulan los mecanismos de defensa, lo que favorece el desarrollo del sistema inmunitario OMEGA3 DHA Contribuye al desarrollo cerebral y cognitivo gracias al Omega-3 DHA INULINA PREBIÓTICA Ayuda al desarrollo de una microflora intestinal sana gracias a la inulina con efecto prebiótico Contiene 7 bolsas de 150g cada una",https://images-na.ssl-images-amazon.com/images/I/416G1OHnIaL._AC_SX569_.jpg,Snack para perros,Advance-Snack-Puppy,Perros,16.03,0,TRUE,AMOUNT,0,,1.05,,,,,,,,,,,,,,,,,,,Cantidad,1.05kg,,,,,,,,,,,C,2,FALSE
52,Product,Advance Snacks Senior 7 antildeos Snack,"Fácil de masticar: galletas tiernas, suaves para sus dientes Vitaminas y antioxidantes: ayudan a mantener un sistema inmunitario sano Glucosamina, condroitina y omega 3: ayudan a mejorar la movilidad articular",https://images-na.ssl-images-amazon.com/images/I/41EiE-kTb0L._AC_SX569_.jpg,Snack para perros,Advance-Snack-Senior,Perros,20.93,0,TRUE,AMOUNT,0,,1.05,,,,,,,,,,,,,,,,,,,Cantidad,1.05kg,,,,,,,,,,,C,2,FALSE
53,Product,Advance Snacks Sensitive Snack ,ADVANCE Sensitive Snack es una galleta tierna y apetitosa ideal para perros con la piel y el tracto digestivo delicados. SALMON como única fuente de proteína animal para facilitar la digestión. OMEGA 3 y 6 para contribuir a la salud y protección de la piel. PREBIÓTICOS naturales (inulina) para favorecer el desarrollo de una microflora intestinal sana. Contiene 7 bolsitas de 150g cada uno,https://images-na.ssl-images-amazon.com/images/I/41cT0GCPJVL._AC_SX569_.jpg,Comida para perros,Advance-Snack-Sensitive,Perros,19.53,0,TRUE,AMOUNT,0,,1.05,,,,,,,,,,,,,,,,,,,Cantidad,1.05kg,,,,,,,,,,,C,2,FALSE
